ID,Название (Title):,Описание( Summary):,Приоритет (Priority),Шаги (Steps to reproduce):,Ожидаемый результат (Expected result):,Фактический результат
1,Авторизация зарегистрированного пользователя,Авторизация зарегистрированного пользователя,High,"1. Открыть приложение ""Хоспис""
2. Ввести в поле Логин данные зарегистрированного пользователя
3. Ввести в поле Пароль данные зарегистрированного пользователя
4. Нажать кнопку ""Войти""","1. Приложение открылось, страница авторизации
2. Поле заполнено
3. Поле заполнено
4. Открыта главная страница приложения",Success
2,Авторизация незарегистрированного пользователя,Авторизация незарегистрированного пользователя,High,"1. Открыть приложение ""Хоспис"" 
2. Ввести в поле Логин данные незарегистрированного пользователя 
3. Ввести в поле Пароль данные незарегистрированного пользователя 
4. Нажать кнопку ""Войти""","1. Приложение открылось, страница авторизации 
2. Поле заполнено 
3. Поле заполнено 
4. Появилось сообщение об ошибке",Success
3,Авторизация с неверным логином и верным паролем,Авторизация с неверным логином и верным паролем,High,"1. Открыть приложение ""Хоспис""
2. Ввести в поле Логин данные незарегистрированного пользователя
3. Ввести в поле Пароль данные зарегистрированного пользователя
4. Нажать кнопку ""Войти""","1. Приложение открылось, страница авторизации
2. Поле заполнено
3. Поле заполнено
4. Появилось сообщение об ошибке",Success
4,Авторизация с верным логином и неверным паролем,Авторизация с верным логином и неверным паролем,High,"1. Открыть приложение ""Хоспис""
2. Ввести в поле Логин данные зарегистрированного пользователя
3. Ввести в поле Пароль данные незарегистрированного пользователя
4. Нажать кнопку ""Войти""","1. Приложение открылось, страница авторизации
2. Поле заполнено
3. Поле заполнено
4. Появилось сообщение об ошибке",Success
5,Авторизация с пустыми полями,Авторизация с пустыми полями,High,"1. Открыть приложение ""Хоспис""
2. Нажать кнопку ""Войти""","1. Приложение открылось, страница авторизации
2. Появилось сообщение об ошибке",Success
6,Ввод SQL-инъекции в поле логина,Ввод SQL-инъекции в поле логина,High,"1. Открыть приложение ""Хоспис""
2. Ввести в поле Логин '1'='1
3. Ввести в поле Пароль данные зарегистрированного пользователя
4. Нажать кнопку ""Войти""","1. Приложение открылось, страница авторизации
2. Поле заполнено
3. Поле заполнено
4. Появилось сообщение об ошибке",Success
7,Ввод SQL-инъекции в поле пароля,Ввод SQL-инъекции в поле пароля,High,"1. Открыть приложение ""Хоспис""
2. Ввести в поле Логин данные зарегистрированного пользователя
3. Ввести в поле Пароль '1'='1
4. Нажать кнопку ""Войти""","1. Приложение открылось, страница авторизации
2. Поле заполнено
3. Поле заполнено
4. Появилось сообщение об ошибке",Success
8,Навигация по разделам,Общая навигация по разделам приложения,High,"1. Тапнуть на иконку навигации с переченем перехода по разделам приложения и выбрать Новости
2. Тапнуть на иконку навигации с переченем перехода по разделам приложения и выбрать О приложении
3. Тапнуть на иконку навигации с переченем перехода по разделам приложения и выбрать Главная
4. Тапнуть на иконку Главное - жить любя","1. Открылся раздел Новости
2. Открылся раздел О приложении
3. Открылся раздел Главная
4. Открылся раздел Главное - жить любя",Success
9,"Сворачивание и разворачивание общего списка ""Новости"" в разделе ""Главная""","Сворачивание и разворачивание общего списка ""Новости"" в разделе ""Главная""",High,"1. На главной странице приложения свернуть все новости (тапнуть на кнопку сворачивания)
2. На главной странице приложения развернуть все новости (тапнуть на кнопку разворачивания)","1. Все новости свернулись
2. Все новости отображаются на текущую дату",Success
10,"Переход в раздел  ""Новости"" с главной страницы","Нажатие кнопки ""ВСЕ НОВОСТИ"" на главной странице приложения  и переход в раздел ""Новости""",High,1. На главной странице приложения тапнуть на ВСЕ НОВОСТИ в разделе Новости,"1. Раздел Новости открылся, виден список новостей на текущую дату",Success
11,"Чтение новости в разделе ""Главная""","Возможнность свернуть/развернуть новость в разделе ""Главная""",High,"1. Тапнуть на новость из списка
2. Повторно тапнуть на новость","1. Новость развернулась
2. Новость свернулась",Success
12,"Pull to refresh раздела ""Главная""","Проверка обновления экрана в разделе ""Главная""",Medium,1. Pull to refresh на странице,1. Страница обновилась,Fail
13,"Скролл новостей в разделе""Новости""","Скролл новостей в разделе""Новости""",High,"1. На главной странице приложения тапнуть на ВСЕ НОВОСТИ в разделе Новости
2. Проскроллить страницу вниз
3. Проскроллить страницу ввверх","1. Раздел Новости открылся, виден список новостей на текущую дату
2. Страница скроллится без задержек
3. Страница скроллится без задержек",Success
14,"Сортировка новостей в разделе ""Новости""","Корректность сортировки новостей в разделе ""Новости""",Medium,"1. На главной странице приложения тапнуть на ВСЕ НОВОСТИ в разделе Новости
2. Тапнуть на иконку сортировки новостей","1. Раздел Новости открылся, виден список новостей на текущую дату
2. Порядок отображения списка поменялся",Success
15,"Чтение новости в разделе ""Новости""","Возможнность свернуть/развернуть новость в разделе ""Главная""",High,"1. На главной странице приложения тапнуть на ВСЕ НОВОСТИ в разделе Новости
2. Тапнуть на новость из списка
3. Повторно тапнуть на новость","1. Раздел Новости открылся, виден список новостей на текущую дату
2. Новость развернулась
3. Новость свернулась",Success
16,"Проверка Pull to refresh раздела ""Новости""","Проверка обновления экрана в разделе ""Новости""",High,"1. На главной странице приложения тапнуть на ВСЕ НОВОСТИ в разделе Новости
2. Pull to refresh на странице","1. Раздел Новости открылся, виден список новостей на текущую дату
2. Страница обновилась",Success
17,"Сортировка новостей в режиме редактирования раздела ""Новости"" ","Корректность сортировки новостей в режиме редактирования в разделе ""Новости""",Medium,"1. На главной странице приложения тапнуть на ВСЕ НОВОСТИ в разделе Новости
2. Тапнуть на иконку для редактирования новостей
3. Тапнуть на иконку сортировки новостей","1. Раздел Новости открылся, виден список новостей на текущую дату
2. Открылась страница для редактирования новостей
3. Порядок отображения списка поменялся",Success
18,"Удаление новости в режиме редактирования раздела ""Новости"" ","Удаление новости в режиме редактирования раздела ""Новости"" ",High,"1. На главной странице приложения тапнуть на ВСЕ НОВОСТИ в разделе Новости
2. Тапнуть на иконку для редактирования новостей
3. Тапнуть на икунку для добавления новости
4. Заполнить поля Category-Объявление, Title-Обьявление, Publication Date (текущая дата), Time (текущее время), Description-Объявление. Нажать кнопку Save
5. На appbar тапнуть на иконку навигации с переченем перехода по разделам приложения и выбрать Новости
6. Тапнуть на добавленную новость
7. Тапнуть на иконку для редактирования новостей
8. В списке новостей находим только что добавленную  новость, тапаем иконку удалить
9. Нажать кнопку ""OK""
10. На appbar тапнуть на иконку навигации с переченем перехода по разделам приложения и выбрать Новости","1. Раздел Новости открылся, виден список новостей на текущую дату
2. Открылась страница для редактирования новостей
3. Открылась страница для добавления новости
4. Отобразился общий список новостей
5. Отрылся раздел Новости, видна добавленная новость
6. Новость развернулась
7. Открылась страница для редактирования новостей
8. Выходит всплывающее сообщение 
9. Новость удалена
10. Отрылся раздел Новости, новость не видна",Success
19,"Редактирование новости в разделе ""Новости"" ","Режим редактирования новостей в разделе ""Новости"" ",High,"1. На главной странице приложения тапнуть на ВСЕ НОВОСТИ в разделе Новости
2. Тапнуть на иконку для редактирования новостей
3. Выбрать новость, на ее текстовом блоке тапнуть на иконку для ее редактирования
4. Поменять поле Description-Объявление. Нажать кнопку Save
5. На appbar тапнуть на иконку навигации с переченем перехода по разделам приложения и выбрать Новости6. Тапнуть на отредактированную новость","1. Раздел Новости открылся, виден список новостей на текущую дату
2. Открылась страница для редактирования новостей
3. Открылась страница для редактирования новости
4. Отобразился общий список новостей
5. Отрылся раздел Новости, видна добавленная новость6. Новость развернулась, она изменилась",Success
20,Добавление новости с заполненными обязательными полями,Отображение данных после добавлении новости ,High,"1. На главной странице приложения тапнуть на ВСЕ НОВОСТИ в разделе Новости
2. Тапнуть на иконку для редактирования новостей
3. Тапнуть на икунку для добавления новости
4. Заполнить поля Category-Объявление, Title-Обьявление, Publication Date(текущая дата), Time(текущее время), Description-Объявление. Нажать кнопку Save
5. На appbar тапнуть на иконку навигации с переченем перехода по разделам приложения и выбрать Новости6. Тапнуть на добавленную новость","1. Раздел Новости открылся, виден список новостей на текущую дату
2. Открылась страница для редактирования новостей
3. Открылась страница для добавления новости
4. Отобразился общий список новостей
5. Отрылся раздел Новости, видна добавленная новость
6. Новость развернулась",Success
21,Добавление новости с незаполненными (пустыми) обязательными полями,Проверка обязательных полей при добавлении новости,High,"1. На главной странице приложения тапнуть на ВСЕ НОВОСТИ в разделе Новости
2. Тапнуть на иконку для редактирования новостей
3. Тапнуть на икунку для добавления новости
4. Нажать кнопку Save","1. Раздел Новости открылся, виден список новостей на текущую дату
2. Открылась страница для редактирования новостей
3. Открылась страница для добавления новости
4. Вышло сообщение об ошибке",Success
22,"Фильтрация новостей по категории в разделе ""Новости""","Корректность фильтрации списка новостей по категориям в разделе ""Новости""",Medium,"1. На главной странице приложения тапнуть на ВСЕ НОВОСТИ в разделе Новости
2. Тапнуть на иконку фильтрации новостей
3. Выбрать категорию Объявление, нажать кнопку Filter","1. Раздел Новости открылся, виден список новостей на текущую дату
2. Открылась страница с фильтрами
3. В разделе виден список новостей согласно фильтру",Success
23,"Фильтрация новостей по дате публикации в разделе ""Новости""","Корректность фильтрации списка новостей по дате публикации в разделе ""Новости""",Medium,"1. На главной странице приложения тапнуть на ВСЕ НОВОСТИ в разделе Новости
2. Тапнуть на иконку фильтрации новостей
3. Выбрать диапазон дат, нажать кнопку Filter","1. Раздел Новости открылся, виден список новостей на текущую дату
2. Открылась страница с фильтрами
3. В разделе виден список новостей согласно фильтру",Success
24,"Фильтрация новостей по категории в режиме редактирования в разделе ""Новости""","Корректность фильтрации списка новостей по категориям в режиме редактирования в разделе ""Новости""",Medium,"1. На главной странице приложения тапнуть на ВСЕ НОВОСТИ в разделе Новости
2. Тапнуть на иконку для редактирования новостей
3. Тапнуть на иконку фильтрации новостей
4. Выбрать категорию Объявление, нажать кнопку Filter","1. Раздел Новости открылся, виден список новостей на текущую дату
2. Открылась страница для редактирования новостей
3. Открылась страница с фильтрами
4. В разделе виден список новостей согласно фильтру",Success
25,"Фильтрация новостей по дате публикации в режиме редактирования в разделе ""Новости""","Корректность фильтрации списка новостей по дате публикации в режиме редактирования в разделе ""Новости""",Medium,"1. На главной странице приложения тапнуть на ВСЕ НОВОСТИ в разделе Новости
2. Тапнуть на иконку для редактирования новостей
3. Тапнуть на иконку фильтрации новостей
4. Выбрать диапазон дат, нажать кнопку Filter","1. Раздел Новости открылся, виден список новостей на текущую дату
2. Открылась страница для редактирования новостей
3. Открылась страница с фильтрами
4. В разделе виден список новостей согласно фильтру",Success
26,"Скролл цитат в разделе ""Главное - жить любя""","Скролл цитат в разделе ""Love ia all""",High,"1. Тапнуть на иконку с цитатами
2. Проскроллить страницу вниз
3. Проскроллить страницу ввверх","1. Открылся раздел ""Главное - жить любя""
2. Страница скроллится без задержек
3. Страница скроллится без задержек",Success
27,"Чтение цитаты в разделе ""Главное - жить любя""","Возможнность свернуть/развернуть цитату в разделе ""Главное - жить любя""",High,"1. Тапнуть на иконку с цитатами
2. Тапнуть на цитату из списка
3. Повторно тапнуть на цитату","1. Открылся раздел ""Главное - жить любя""
2. Цитата развернулась
3. Цитата свернулась",Success
28,"Переход по ссылке Privacy Policy в разделе ""О приложении""","Переход по ссылке Privacy Policy в разделе ""О приложении""",High,"1. Тапнуть на иконку навигации с переченем перехода по разделам приложения и выбрать О приложении
2. Тапнуть по ссылке Privacy Policy","1. Открылся раздел О приложении
2. Открывается браузер, загружается страница https://vhospice.org/#/privacy-policy/",Success
29,"Переход по ссылке Terms of use  в разделе ""О приложении""","Переход по ссылке Terms of use  в разделе ""О приложении""",High,"1. Тапнуть на иконку навигации с переченем перехода по разделам приложения и выбрать О приложении
2. Тапнуть по ссылке Terms of use ","1. Открылся раздел О приложении
2. Открывается браузер, загружается страница https://vhospice.org/#/terms-of-use",Success
30,Выход из приложения,Выход из приложения,High,1. Тапнуть на иконку для разлогинивания и нажать Выйти,1. Открылась страница авторизации,Success
31,Работа приложения на светлой (стандартной) теме устройства,Работа приложения на светлой (стандартной) теме устройства,Medium,"1. Зайти в настройки эмулятора, выбрать светлую тему для экрана устройства
2. Открыть приложение ""Хоспис""
3. Авторизоваться в приложении. Нажать кнопку ""Войти""","1. Выбрана светлая тема экрана
2. Приложение открылось, страница авторизации, текст читаем
3. Открыта главная страница приложения, текст читаем, иконки соотвествуют макету",Success
32,Работа приложения на темной теме устройства,Работа приложения на темной теме устройства,Medium,"1. Зайти в настройки эмулятора, выбрать темную тему для экрана устройства
2. Открыть приложение ""Хоспис""
3. Авторизоваться в приложении. Нажать кнопку ""Войти""","1. Выбрана темная тема экрана
2. Приложение открылось, страница авторизации, текст читаем
3. Открыта главная страница приложения, текст читаем, иконки соотвествуют макету",Success
33,Работа приложения при альбомной ориентации экрана устройства,Отображения всех элементов приложения при изменении ориентации экрана устройства,Medium,"1. Зайти в настройки эмулятора и включить автоповорот экрана
2. Открыть приложение ""Хоспис""
3. Авторизоваться в приложении. Нажать кнопку ""Войти""
4. Расположить устройство в альбомной ориентации 
5. Расположить устройство в книжной ориентации","1. Автоповорот включен
2. Приложение открылось, страница авторизации, текст читаем
3. Открыта главная страница приложения
4. Интерфейс приложения принимает горизонтальное положение, отображение корректное
5. Интерфейс приложения принимает вертикальное положение, отображение корректное",Success
34,Соответствие языка интерфейса приложения языку устройства,Соответствие языка интерфейса приложения языку устройства,High,"1. Зайти в настройки эмулятора и выбрать язык системы - английский
2. Открыть приложение ""Хоспис""
3. Авторизоваться в приложении. Нажать кнопку ""Sign in""","1. Выбран английский язык в качестве системного
2. Приложение открылось, страница авторизации, текст читаем
3. Открыта главная страница приложения. Язык интерфейса - английский",Success
35,Восстановление работы приложения после сворачивания,Восстанавление текущего расположения и состояния после действий сворачивания и повторного открытия приложения на устройстве,High,"1. Тапнуть на иконку с цитатами
2. Нажать на кнопку Home
3. Нажать на кнопку Overview
4. Выбрать приложение ""Хоспис""","1. Открылся раздел ""Главное - жить любя""
2. Приложение свернулось, открылась домашнаяя страница
3. На экране отображены все открытые приложения на устройстве
4. Приложение открыто на разделе ""Главное - жить любя""",Success
36,Восстановление работы приложения после прерывания ,Восстанавление текущего расположения и состояния после после прерывания (переход в стороннее приложение),High,"1. Тапнуть на иконку с цитатами
2. Нажать на кнопку Home
3. Запустить браузер на устройстве
4. Нажать на кнопку Overview
5. Выбрать приложение ""Хоспис""","1. Открылся раздел ""Главное - жить любя""
2. Приложение свернулось, открылась домашнаяя страница
3. Открыта начальная страница браузера
4. На экране отображены все открытые приложения на устройстве
5. Приложение открыто на разделе ""Главное - жить любя""",Success
37,Уведомление о наличии входящего звонка,Уведомление о звонке при использовании приложения,High,"1. Тапнуть на иконку с цитатами
2. В Android Studio во вкладке Running Device выбрать Extended Controls
3. В главном меню настроек выбираем Phone, нажимаем Call device","1. Открылся раздел ""Главное - жить любя""
2. Появилось окно с настройками
3. Появляется push-уведомление о входящем звонке",Success
38,Уведомление о поступившем SMS сообщении,Уведомление о СМС сообщения при использовании приложения,High,"1. Тапнуть на иконку с цитатами
2. В Android Studio во вкладке Running Device выбрать Extended Controls
3. В главном меню настроек выбираем Phone, нажимаем Send Message","1. Открылся раздел ""Главное - жить любя""
2. Появилось окно с настройками
3. Появляется push-уведомление о входящем сообщении",Success
39,Работа приложения при использовании сети 2G,Функциональность и производительность приложения при использовании сети 2G на устройстве,High,"1. Зайти в настройки эмулятора, Сеть и Интернет, Мобильная сеть, Предпочтительный тип сети - 2G
2. Открыть приложение ""Хоспис""
3. Авторизоваться в приложении. Нажать кнопку ""Войти""","1. Предпочтительный тип сети в настройках телефона выбран 2G
2. Приложение открылось, страница авторизации
3. Открыта главная страница приложения без ошибок и зависаний",Success
40,Работа приложения при использовании сети 3G,Функциональность и производительность приложения при использовании сети 3G на устройстве,High,"1. Зайти в настройки эмулятора, Сеть и Интернет, Мобильная сеть, Предпочтительный тип сети - 3G
2. Открыть приложение ""Хоспис""
3. Авторизоваться в приложении. Нажать кнопку ""Войти""","1. Предпочтительный тип сети в настройках телефона выбран 3G
2. Приложение открылось, страница авторизации
3. Открыта главная страница приложения без ошибок и зависаний",Success
41,Работа приложения при отсутствии сети Интернет на мобильном устройстве,Функциональность и производительность приложения при отсутствии интернета на устройстве,High,"1. Зайти в настройки эмулятора, выключить Wi-Fi, Мобильный интернет
2. Открыть приложение ""Хоспис""","1. Телефон отключен от сети Интернет
2. Бесконечный лоудер",Success