Группа проверок/модуль,Проверка,Приоритет,Результат
Авторизация пользователя в приложении,Авторизация зарегистрированного пользователя,High,Success
Авторизация пользователя в приложении,Авторизация незарегистрированного пользователя,High,Success
Авторизация пользователя в приложении,Вход с неверным логином и корректным паролем,High,Success
Авторизация пользователя в приложении,Вход с корректным логином и неверным паролем,High,Success
Авторизация пользователя в приложении,Авторизация с пустыми полями,High,Success
Авторизация пользователя в приложении,Ввод SQL-инъекции в поле логина,High,Success
Авторизация пользователя в приложении,Ввод SQL-инъекции в поле пароля,High,Success
Навигация по разделам,"Переход в раздел ""Новости""",High,Success
Навигация по разделам,"Переход в раздел ""О приложении""",High,Fail
Навигация по разделам,"Переход в раздел ""Главное - жить любя""",High,Success
Навигация по разделам,"Возврат в ""Главная"" из раздела ""О приложении""",High,Success
"Раздел ""Главная"" ","Сворачивание и разворачивание общего списка новостей в разделе ""Главная""",High,Success
"Раздел ""Главная"" ","Нажатие кнопки ""Все новости"" и переход в раздел ""Новости""",High,Success
"Раздел ""Главная"" ","Чтение новости в разделе ""Главная""",High,Success
"Раздел ""Главная"" ","Pull to refresh в разделе ""Главная""",Medium,Fail
"Раздел ""Новости""","Скроллинг списка новостей в разделе ""Новости""",High,Success
"Раздел ""Новости""",Сортировка списка новостей,Medium,Success
"Раздел ""Новости""","Чтение новости в разделе ""Новости""",High,Success
"Раздел ""Новости""","Pull to refresh в разделе ""Новости""",High,Success
"Раздел ""Новости"", редактирование",Сортировка новостей в режиме редактирования,Medium,Success
"Раздел ""Новости"", редактирование",Удаление новости,High,Success
"Раздел ""Новости"", редактирование",Редактирование новости,High,Success
"Раздел ""Новости"", редактирование",Добавление новости с валидными данными и отображение в списке,High,Success
"Раздел ""Новости"", редактирование",Добавление новости с незаполненными обязательными полями,High,Success
"Раздел ""Новости"", фильтрация",Фильтрация новостей по категории,Medium,Success
"Раздел ""Новости"", фильтрация",Фильтрация новостей по дате публикации,Medium,Success
"Раздел ""Главное - жить любя""","Скроллинг экрана ""Главное - жить любя""",High,Success
"Раздел ""Главное - жить любя""","Сворачивание/разворачивание цитаты на странице ""Главное - жить любя""",High,Success
"Раздел ""О приложении"" ",Переход по ссылке Privacy Policy,High,Success
"Раздел ""О приложении"" ",Переход по ссылке Terms of Use,High,Success
"Кнопка ""Выйти""",Выход из системы,High,Success
"Ориентация, светлая-темная тема",Отображение приложения в светлой теме устройства,Medium,Success
"Ориентация, светлая-темная тема",Отображение приложения в тёмной теме устройства,Medium,Fail
"Ориентация, светлая-темная тема",Корректное отображение при смене ориентации экрана (портретная/ландшафтная),Medium,Success
Локализация,Соответствие языка интерфейса языковым настройкам устройства,High,Success
Восстановление работы приложения,Восстановление работы приложения после сворачивания,High,Success
Восстановление работы приложения,Восстановление работы приложения после прерывания,High,Success
Восстановление работы приложения,Уведомление о входящем звонке,High,Success
Восстановление работы приложения,Уведомление о поступившем SMS,High,Success
Настройка сети,Работа приложения в сети 2G,High,Success
Настройка сети,Работа приложения в сети 3G,High,Success
Настройка сети,Работа приложения при отсутствии интернет-соединения,High,Success